序号,开放渠道,品牌,一级类目,二级类目,三级类目,货品ID,货品名称,货品规格,货品条码,货品箱规,货品毛重,单价 (元),销售单位,图片链接,价格/活动备注,状态
1,"天猫,京东",交悦,个人护理,女性用品,涨潮水,A0001,涨潮水1代,15ml,69856746951,,,40,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,上架
2,"天猫,京东",交悦,个人护理,男性护理,涨潮水,A0002,涨潮水2代,15ml,69856746952,,,50,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,下架
3,全网,IFLOVE,个人护理,保健品,涨潮水,A0003,涨潮水3代,15ml,69856746953,,,60,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,预售
4,私域,IFLOVE,个人护理,护理用品,涨潮水,A0004,涨潮水4代,15ml,69856746954,,,70,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
5,拼多多,JIAOYUE,数码相机,女性用品,涨潮水,A0005,涨潮水5代,15ml,69856746955,,,80,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
6,拼多多,JIAOYUE,个人护理,女性用品,延时喷剂,A0006,涨潮水6代,15ml,69856746956,,,90,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
7,"天猫,京东",BED GAME,个人护理,女性用品,按摩膏,A0007,涨潮水7代,15ml,69856746957,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
8,美团,BED GAME,个人护理,女性用品,逼逼膏,A0008,涨潮水8代,15ml,69856746958,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
9,私域,蜗赛,个人护理,女性用品,水落落,A0009,涨潮水9代,15ml,69856746959,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
10,"天猫,京东",蜗赛,个人护理,女性用品,涨潮水,A0010,涨潮水10代,15ml,698567469510,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
11,"天猫,京东",泰潮,个人护理,女性用品,涨潮水,A0011,涨潮水11代,15ml,698567469511,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
12,全网,泰潮,个人护理,女性用品,涨潮水,A0012,涨潮水12代,15ml,698567469512,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
13,私域,泰潮,个人护理,女性用品,涨潮水,A0013,涨潮水13代,15ml,698567469513,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
14,拼多多,冰火之恋,个人护理,女性用品,涨潮水,A0014,涨潮水14代,15ml,698567469514,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
15,拼多多,冰火之恋,个人护理,女性用品,涨潮水,A0015,涨潮水15代,15ml,698567469515,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
16,"天猫,京东",思尚,个人护理,女性用品,涨潮水,A0016,涨潮水16代,15ml,698567469516,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
17,美团,遵化,个人护理,女性用品,涨潮水,A0017,涨潮水17代,15ml,698567469517,,,100,瓶,"https://img1.baidu.com/it/u=4171056545,2983995439&fm=253&fmt=auto&app=120&f=JPEG",,
18,私域,蕾琪,个人护理,女性用品,涨潮水,A0018,涨潮水18代,15ml,698567469518,,,100,瓶,https://i.postimg.cc/2ShjL6Kb/wei-biao-ti-1.jpg,,
19,线下门店,伊思诺,个人护理,女性用品,涨潮水,A0019-HJHFKLA,涨潮水19代,15ml,6910682000066,,,100,瓶,https://i.postimg.cc/7Z2h1Xfh/wei-biao-ti-1.jpg,,
20,线下门店,伊思诺,个人护理,女性用品,涨潮水,A0019-HJHFKLA,涨潮水19代,15ml,6910682000066,,,100,瓶,https://i.postimg.cc/c4vV6bbt/wei-biao-ti-1.jpg,,